,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,13,1,0.86,0.05,25.35,33.68,23.61,25.35,96,285,2.22,4,6.65
1,blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,66,31,0.36,0.1,28.56,40.95,27.8,28.56,387,945,2.4,6,7.17
2,blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,45,24,0.3,0.09,30.15,50.86,32.4,30.15,384,755,2.69,15,7.89
3,blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,44,75,-0.26,0.15,36.41,47.28,33.48,36.41,365,772,2.55,7,7.7
4,blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,27,8,0.54,0.07,37.31,39.14,30.58,37.31,200,511,2.32,6,7.15
5,blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,94,26,0.57,0.1,37.3,47.46,33.9,37.3,580,1222,2.55,8,7.7
6,blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,27,40,-0.19,0.11,26.64,39.37,26.4,26.64,250,635,2.31,2,6.95
7,blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,36,9,0.6,0.07,29.49,51.33,32.33,29.49,308,600,2.67,5,7.85
8,blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,49,50,-0.01,0.14,33.13,49.86,33.2,33.13,363,728,2.63,5,7.8
9,blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,67,68,-0.01,0.15,34.47,47.37,32.74,34.47,424,895,2.49,10,7.6
10,blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,70,19,0.57,0.09,35.18,46.7,32.75,35.18,439,940,2.54,5,7.61
11,blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,90,24,0.58,0.1,35.96,38.26,29.69,35.96,417,1090,2.4,4,7.35
12,blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,46,13,0.56,0.14,43.3,45.37,35.47,43.3,196,432,2.51,5,7.57
13,blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,30,27,0.05,0.08,22.14,38.9,24.42,22.14,277,712,2.28,5,6.99
14,blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,48,27,0.28,0.09,33.34,39.76,29.24,33.34,328,825,2.28,8,7.1
15,blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,48,27,0.28,0.09,33.34,39.76,29.24,33.34,328,825,2.28,8,7.1
16,blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,53,12,0.63,0.09,31.35,41.16,29.0,31.35,312,758,2.36,4,7.19
17,blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,47,10,0.65,0.08,41.41,42.88,33.72,41.41,298,695,2.38,3,7.31
18,blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,74,6,0.85,0.08,29.44,43.61,29.22,29.44,447,1025,2.32,7,7.15
19,blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,14,0,1.0,0.04,40.0,35.79,30.32,40.0,131,366,2.3,2,6.98
20,blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,33,46,-0.16,0.11,32.69,43.6,30.52,32.69,310,711,2.43,8,7.31
21,blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,20,10,0.33,0.09,29.22,40.19,27.76,29.22,129,321,2.36,6,7.04
22,blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,47,15,0.52,0.07,30.87,32.87,25.5,30.88,282,858,2.22,9,6.79
23,blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,30,3,0.82,0.08,52.31,41.82,37.65,52.31,179,428,2.32,3,6.96
24,blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,28,11,0.44,0.06,71.89,30.15,40.82,71.89,202,670,2.01,5,6.29
25,blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,34,14,0.42,0.08,36.88,38.13,30.0,36.88,241,632,2.23,3,6.76
26,blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,44,26,0.26,0.09,35.72,30.77,26.6,35.72,244,793,2.05,26,6.35
27,blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,43,25,0.26,0.1,52.11,36.26,35.35,52.11,256,706,2.24,11,7.06
28,blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,84,34,0.42,0.1,43.22,39.12,32.94,43.22,473,1209,2.33,3,7.12
29,blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,75,37,0.34,0.13,27.98,31.37,23.74,27.98,266,848,2.13,8,6.58
30,blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,78,36,0.37,0.11,31.98,39.45,28.57,31.98,428,1085,2.39,5,7.24
31,blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,84,26,0.53,0.11,25.97,30.63,22.64,25.97,295,963,2.12,19,6.46
32,blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,69,25,0.47,0.09,38.93,34.6,29.41,38.93,356,1029,2.2,18,6.82
33,blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,60,23,0.45,0.11,36.18,34.04,28.09,36.18,257,755,2.21,18,6.84
34,blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,33,12,0.47,0.09,25.56,34.05,23.84,25.56,174,511,2.21,9,6.81
35,blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,5,0,1.0,0.04,115.5,44.63,64.05,115.5,54,121,2.49,2,7.29
36,blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,48,13,0.57,0.12,33.6,29.39,25.2,33.6,144,490,2.06,4,6.53
37,blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,85,40,0.36,0.1,37.88,34.21,28.84,37.88,428,1251,2.2,8,6.66
38,blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,61,63,-0.02,0.11,27.6,33.54,24.46,27.6,379,1130,2.19,1,6.72
39,blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,50,22,0.39,0.09,37.35,40.42,31.11,37.35,310,767,2.36,11,7.2
40,blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,47,29,0.24,0.09,24.89,33.09,23.19,24.89,275,831,2.13,7,6.52
41,blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,73,24,0.51,0.11,66.83,30.29,38.85,66.83,275,908,2.18,23,6.75
42,blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,79,22,0.56,0.11,37.0,34.63,28.65,37.0,330,953,2.22,13,6.77
43,blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,33,0,1.0,0.08,45.65,39.66,34.12,45.65,161,406,2.36,2,7.21
44,blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,108,39,0.47,0.14,262.37,30.5,117.15,262.38,312,1023,2.11,16,6.54
45,blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,32,0,1.0,0.06,40.54,40.08,32.25,40.54,206,514,2.29,2,6.87
46,blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,20,6,0.54,0.05,51.05,46.73,39.11,51.05,243,520,2.45,3,7.37
47,blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,7,3,0.4,0.05,205.0,43.19,99.28,205.0,92,213,2.42,4,7.09
48,blackassign0049,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,5,0,1.0,0.04,115.5,44.63,64.05,115.5,54,121,2.49,2,7.29
49,blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,40,68,-0.26,0.13,40.35,34.07,29.77,40.35,293,860,2.19,4,6.85
50,blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,26,14,0.3,0.08,42.12,37.63,31.9,42.12,187,497,2.27,5,6.81
51,blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,77,37,0.35,0.11,27.23,34.66,24.76,27.23,367,1059,2.2,11,6.72
52,blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,57,3,0.9,0.13,32.79,38.62,28.56,32.79,185,479,2.34,5,6.97
53,blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,13,1,0.86,0.04,44.57,31.82,30.56,44.57,105,330,2.17,2,6.63
54,blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,32,8,0.6,0.07,62.22,30.87,37.24,62.22,171,554,2.12,3,6.48
55,blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,19,8,0.41,0.07,62.25,38.73,40.39,62.25,146,377,2.31,3,6.88
56,blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,24,8,0.5,0.11,26.83,37.75,25.83,26.83,114,302,2.41,2,7.26
57,blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,11,0,1.0,0.05,43.0,41.26,33.7,43.0,85,206,2.48,3,7.35
58,blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,31,36,-0.07,0.13,20.66,30.51,20.47,20.66,155,508,2.14,21,6.58
59,blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,16,2,0.78,0.08,59.0,35.85,37.94,59.0,76,212,2.26,3,6.81
60,blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,44,11,0.6,0.11,46.19,40.6,34.72,46.19,203,500,2.38,2,7.32
61,blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,7,7,0.0,0.08,62.83,39.25,40.83,62.83,73,186,2.28,4,6.84
62,blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,14,25,-0.28,0.13,34.67,36.21,28.35,34.67,105,290,2.25,8,6.82
63,blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,36,48,-0.14,0.08,43.48,42.68,34.46,43.48,452,1059,2.37,17,7.29
64,blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,62,22,0.48,0.08,45.91,31.45,30.94,45.91,311,989,2.1,19,6.54
65,blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,53,25,0.36,0.09,26.45,31.1,23.02,26.45,279,897,2.06,19,6.47
66,blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,31,7,0.63,0.08,22.32,34.66,22.79,22.32,166,479,2.24,2,6.83
67,blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,55,8,0.75,0.08,29.85,31.11,24.38,29.85,238,765,2.09,4,6.61
68,blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,41,6,0.74,0.14,49.07,38.3,34.95,49.07,131,342,2.23,9,6.82
69,blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,52,16,0.53,0.07,47.67,34.13,32.72,47.67,342,1002,2.21,9,6.76
70,blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,39,71,-0.29,0.19,22.36,31.93,21.72,22.36,189,592,2.14,11,6.61
71,blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,77,22,0.56,0.14,26.34,28.37,21.88,26.34,200,705,2.03,7,6.4
72,blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,28,34,-0.1,0.09,46.07,26.93,29.2,46.07,185,687,1.94,2,6.26
73,blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,34,23,0.19,0.08,36.35,38.15,29.8,36.35,272,713,2.33,10,6.95
74,blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,39,74,-0.31,0.19,22.03,32.01,21.62,22.03,194,606,2.15,13,6.64
75,blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,31,10,0.51,0.09,48.2,35.91,33.64,48.2,167,465,2.19,7,6.67
76,blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,14,6,0.4,0.07,49.0,36.3,34.12,49.0,98,270,2.28,1,6.94
77,blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,31,18,0.27,0.09,54.32,35.96,36.11,54.32,192,534,2.27,2,6.98
78,blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,33,32,0.02,0.08,45.4,33.12,31.41,45.4,257,776,2.13,7,6.67
79,blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,42,10,0.62,0.02,63.0,26.32,35.73,63.0,569,2162,1.91,2,6.15
80,blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,44,52,-0.08,0.09,34.24,34.77,27.6,34.24,354,1018,2.2,11,6.82
81,blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,34,62,-0.29,0.1,38.02,43.43,32.58,38.02,433,997,2.37,2,7.1
82,blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,10,1,0.82,0.06,74.8,39.56,45.74,74.8,72,182,2.29,3,6.87
83,blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,44,4,0.83,0.08,37.66,30.07,27.09,37.66,172,572,2.04,4,6.52
84,blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,52,33,0.22,0.08,21.42,36.67,23.24,21.42,370,1009,2.21,8,6.77
85,blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,62,15,0.61,0.08,31.6,34.68,26.51,31.6,352,1015,2.13,5,6.62
86,blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,43,32,0.15,0.11,38.61,30.29,27.56,38.61,212,700,2.1,5,6.61
87,blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,22,44,-0.33,0.06,50.05,39.18,35.69,50.05,418,1067,2.28,3,6.89
88,blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,24,42,-0.27,0.1,38.94,33.91,29.14,38.94,215,634,2.21,4,6.75
89,blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,47,47,0.0,0.13,23.16,33.83,22.8,23.16,249,736,2.18,38,6.7
90,blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,35,28,0.11,0.09,44.52,36.86,32.55,44.52,258,700,2.26,14,6.77
91,blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,23,37,-0.23,0.08,58.92,33.03,36.78,58.92,256,775,2.14,3,6.67
92,blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,11,3,0.57,0.07,60.14,36.41,38.62,60.14,75,206,2.21,3,6.72
93,blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,39,49,-0.11,0.12,31.08,31.79,25.15,31.08,234,736,2.1,15,6.59
94,blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,18,25,-0.16,0.09,51.61,34.34,34.38,51.61,159,463,2.13,6,6.63
95,blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,35,57,-0.24,0.12,30.91,39.78,28.28,30.91,294,739,2.31,3,7.02
96,blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,37,35,0.03,0.12,52.3,34.03,34.53,52.3,213,626,2.13,8,6.58
97,blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,6,0,1.0,0.03,94.0,41.26,54.1,94.0,85,206,2.33,1,6.95
98,blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,28,3,0.81,0.08,40.75,29.8,28.22,40.75,121,406,2.09,3,6.45
99,blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,39,55,-0.17,0.16,62.4,37.1,39.8,62.4,223,601,2.27,4,6.93
